2020-10-18T114009
7432,00000021
7431,00000038
7477,00000200
7446,00000008
7575,000003FF
7443,0000000A
2020-10-18T114221
7433,0000001F
7432,00000021
7431,0000003A
7477,00000200
7446,00000008
7575,000003FF
7443,0000000A
2020-10-18T114224
7433,0000001F
7432,00000021
7431,0000003A
7477,00000200
7446,00000008
7575,000003FF
7443,0000000A
2020-10-18T114226
7433,0000001F
7432,00000021
7431,0000003A
7477,00000200
7446,00000008
7575,000003FF
7443,0000000A
2020-10-18T114229
7433,0000001F
7432,00000021
7431,0000003A
7477,00000200
7446,00000008
7575,000003FF
7443,0000000A
2020-10-18T114232
7433,0000001F
7432,00000022
7431,0000003A
7477,00000200
7446,00000008
7575,000003FF
7443,0000000A
2020-10-18T114234
7433,0000001F
7432,00000022
7431,0000003A
7477,00000200
7446,00000008
7575,000003FF
7443,0000000A
2020-10-18T114237
7433,0000001F
7432,00000022
7431,0000003A
7477,00000200
7446,00000008
7575,000003FF
7443,0000000A
2020-10-18T114240
7433,0000001F
7432,00000022
7431,0000003A
7477,00000220
7446,00000008
7575,000003FF
7443,0000000A
2020-10-18T114242
7433,0000001F
7432,00000022
7431,0000003B
7477,00000220
7446,00000008
7575,000003FF
7443,0000000A
2020-10-18T114245
7433,0000001F
7432,00000022
7431,0000003C
7477,00000200
7446,00000008
7575,000003FF
7443,0000000A
2020-10-18T114248
7433,0000001F
7432,00000022
7431,0000003C
7477,00000200
7446,00000008
7575,000003FF
7443,0000000A
2020-10-18T114250
7433,0000001F
7432,00000022
7431,0000003C
7477,00000200
7446,00000008
7575,000003FF
7443,0000000B
2020-10-18T114253
7433,0000001F
7432,00000022
7431,0000003C
7477,00000200
7446,00000008
7575,000003FF
7443,0000000C
2020-10-18T114256
7433,0000001F
7432,00000022
7431,0000003C
7477,00000200
7446,00000008
7575,000003FF
7443,0000000B
2020-10-18T114258
7433,0000001F
7432,00000022
7431,0000003E
7477,00000220
7446,00000008
7575,000003FF
7443,0000000B
2020-10-18T114301
7433,0000001F
7432,00000022
7431,0000003E
7477,00000220
7446,00000008
7575,000003FF
7443,0000000C
2020-10-18T114304
7433,0000001F
7432,00000022
7431,0000003E
7477,00000200
7446,00000008
7575,000003FF
7443,0000000C
2020-10-18T114307
7433,0000001F
7432,00000022
7431,0000003E
7477,00000200
7446,00000008
7575,000003FF
7443,0000000C
2020-10-18T114309
7433,0000001F
7432,00000024
7431,0000003E
7477,00000200
7446,00000008
7575,000003FF
7443,0000000C
2020-10-18T114312
7433,0000001F
7432,00000024
7431,0000003E
7477,00000220
7446,00000008
7575,000003FF
7443,0000000C
2020-10-18T114315
7433,0000001F
7432,00000024
7431,0000003E
7477,00000220
7446,00000008
7575,000003FF
7443,0000000C
2020-10-18T114317
7433,0000001F
7432,00000024
7431,0000003E
7477,00000220
7446,00000008
7575,000003FF
7443,0000000C
2020-10-18T114320
7433,0000001F
7432,00000026
7431,0000003E
7477,00000220
7446,00000008
7575,000003FF
7443,0000000C
2020-10-18T114323
7433,0000001F
7432,00000026
7431,0000003F
7477,00000220
7446,00000008
7575,000003FF
7443,0000000C
2020-10-18T114325
7433,0000001F
7432,00000026
7431,00000040
7477,00000220
7446,00000008
7575,000003FF
7443,0000000C
2020-10-18T114328
7433,0000001F
7432,00000026
7431,00000040
7477,00000220
7446,00000008
7575,000003FF
7443,0000000C
2020-10-18T114331
7433,0000001F
7432,00000027
7431,00000040
7477,00000220
7446,00000008
7575,000003FF
7443,0000000C
2020-10-18T114334
7433,0000001F
